index,Year,Quarter,LocationAbbr,LocationDesc,HealthTopic,PolicyTopic,DataSource,Setting,Title,Status,Citation,StatusAltValue
214,2011,1,FL,Florida,Physical Activity,School Siting,DNPAO,School/After School,Growth Management,Dead,H1427,3
215,2011,1,NY,New York,Nutrition,Medical Care,DNPAO,Community,Registration of Commercial Bicycles,Dead,A5430,3
216,2010,1,AL,Alabama,Obesity,Appropriations,DNPAO,Restaurant/Retail,Government Appropriations,Dead,S303,3
217,2010,1,NC,North Carolina,Nutrition,Breastfeeding,DNPAO,Work Place,Lactation Support,Enacted,R5926,1
218,2009,1,CA,California,Obesity,Food Restrictions,DNPAO,Restaurant/Retail,Agriculture: Victory Garden Growers,Dead,S362,3
219,2011,1,AR,Arkansas,Obesity,Food Restrictions,DNPAO,Community,Farmers Market Regulation,Dead,S820,3
220,2005,1,CA,California,Nutrition,Medical Care,DNPAO,Community,Parks: The Great California Delta Trail System,Enacted,S1556,1
221,2011,1,TX,Texas,Physical Activity,Physical Education Requirements,DNPAO,School/After School,Physical Education Credits Requirement,Dead,S186,3
222,2011,1,HI,Hawaii,Nutrition,School Nutrition,DNPAO,School/After School,School Gardens,Dead,HCR260,3
223,2011,1,MN,Minnesota,Nutrition,Appropriations,DNPAO,Community,Capital Investment,Dead,S679,3
224,2011,1,TX,Texas,Nutrition,Media Campaigns,DNPAO,School/After School,Sweetened Beverages Tax,Dead,H2213,3
225,2009,1,NC,North Carolina,Nutrition,Appropriations,DNPAO,Community,Justice Accessibility,Dead,H773,3
226,2011,1,MS,Mississippi,Nutrition,Incentives,DNPAO,Community,Task Force on Combating Childhood Obesity,Dead,H1092,3
227,2010,1,FL,Florida,Nutrition,Agriculture and Farming,DNPAO,School/After School,Appropriations,Dead,S2700,3
228,2010,1,MI,Michigan,Nutrition,Food Assistance Programs,DNPAO,Community,Community Health,Dead,S1182,3
229,2011,1,AR,Arkansas,Nutrition,Disparities/Equity,DNPAO,School/After School,Childhood Education Appropriation,Dead,H1671,3
230,2013,2,TX,Texas,Nutrition,Access to Healthy Foods,DNPAO,Restaurant/Retail,An Act Relating to the Creation of A Regional Food Economy and Food Access Task Force,Introduced,SB1208,0
231,2011,1,NC,North Carolina,Obesity,Access to Drinking Water,DNPAO,Early Care and Education,Childhood Obesity Legislative Task Force,Dead,H218,3
232,2010,1,HI,Hawaii,Nutrition,Agriculture and Farming,DNPAO,Restaurant/Retail,Food Safe Certification and Pilot Program,Enacted,H1471,1
233,2009,1,TX,Texas,Nutrition,Appropriations,DNPAO,Community,Healthy Foods Availability,Enacted,S343,1
234,2009,1,WA,Washington,Physical Activity,Public Transportation,DNPAO,School/After School,Supplemental Transportation Appropriations,Dead,S5351,3
235,2010,1,NJ,New Jersey,Physical Activity,Built Environment and Street-Scale Design,DNPAO,School/After School,School Transportation,Dead,A619,3
236,2010,1,NJ,New Jersey,Nutrition,Medical Care,DNPAO,Community,Motorists Operating Vehicles,Dead,S1461,3
237,2011,1,IL,Illinois,Nutrition,Appropriations,DNPAO,Community,An Act Making Appropriations,Dead,S2404,3
238,2009,1,LA,Louisiana,Nutrition,Appropriations,DNPAO,Community,Sales Tax Holiday,Dead,H25,3
239,2011,1,HI,Hawaii,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Aspartame,Dead,S827,3
240,2009,1,MA,Massachusetts,Physical Activity,Physical Education Requirements,DNPAO,School/After School,Quality Physical Education,Dead,S248,3
241,2009,1,WV,West Virginia,Obesity,Appropriations,DNPAO,School/After School,Patient Centered Medical Homes Pilot Projects,Enacted,S414,1
242,2010,1,NY,New York,Physical Activity,Bicycling,DNPAO,Community,Bicycle Tourism Kiosks,Dead,A10325,3
243,2009,1,MI,Michigan,Obesity,Appropriations,DNPAO,Community,Recreational Authorities Act,Dead,H4700,3
244,2011,1,MO,Missouri,Obesity,Appropriations,DNPAO,School/After School,Public Schools Ballroom Dance Courses,Dead,H169,3
245,2010,1,VA,Virginia,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,State Grown Food Products,Dead,H398,3
246,2011,1,NY,New York,Obesity,Appropriations,DNPAO,School/After School,Office Of Nutrition And Fitness,Dead,S1735,3
247,2009,1,GA,Georgia,Physical Activity,Pedestrians/Walking,DNPAO,Community,Local Government,Enacted,H63,1
248,2011,1,WA,Washington,Physical Activity,Public Transportation,DNPAO,Community,Statewide Transportation Planning,Dead,H1747,3
249,2011,1,MN,Minnesota,Obesity,Appropriations,DNPAO,Community,Capital Investment,Dead,H1324,3
250,2010,1,TX,Texas,Nutrition,Initiatives and Programs,DNPAO,Early Care and Education,Developmental Activities And Activity Plan,Enacted,R18457,1
251,2013,1,NY,New York,Nutrition,Disparities/Equity,DNPAO,Community,An Act to Amend the New York State Urban Development Corporation Act,Introduced,AB2483,0
252,2008,1,TX,Texas,Obesity,Health Insurance Coverage,DNPAO,Work Place,Wellness Programs,Enacted,R14735,1
253,2011,1,MS,Mississippi,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,Sweetened Beverages and Syrups Tax,Dead,S2678,3
254,2012,1,IA,Iowa,Nutrition,Initiatives and Programs,DNPAO,Community,An Act Providing for Charitable Food Donations,Dead,SSB3095,3
255,2014,1,WA,Washington,Nutrition,Disparities/Equity,DNPAO,Early Care and Education,The Apple a Day Act,Introduced,HB2410,0
256,2009,1,TN,Tennessee,Physical Activity,Public Transportation,DNPAO,Community,Safety Department,Dead,H1319,3
257,2011,1,OK,Oklahoma,Nutrition,Liability and Indemnity,DNPAO,Community,Driver Licenses,Dead,S487,3
258,2014,2,MA,Massachusetts,Physical Activity,Bicycling,DNPAO,Community,Parks Appropriations,Dead,HB4150,3
259,2011,1,MA,Massachusetts,Obesity,Appropriations,DNPAO,School/After School,Nutritional Meals in the Public Schools,Dead,H1056,3
260,2011,1,CO,Colorado,Physical Activity,Public Transportation,DNPAO,Community,Senate Bill Funding Restriction,Dead,H1075,3
261,2004,1,MO,Missouri,Physical Activity,Task Forces/Councils,DNPAO,Community,Departments of Transportation and Public Safety,Enacted,HB1005,1
262,2010,1,MN,Minnesota,Obesity,Appropriations,DNPAO,Community,Human Services,Enacted,S2855,1
263,2011,1,SC,South Carolina,Obesity,Portion Size,DNPAO,School/After School,School Sold Snacks,Dead,S498,3
264,2010,1,CO,Colorado,Nutrition,Task Forces/Councils,DNPAO,Community,Campaign to End Childhood Hunger By 2015,Enacted,EO29,1
265,2011,1,NY,New York,Obesity,Appropriations,DNPAO,Community,Objects Or Purposes for Which Certain Bonds Were Issued,Enacted,S5200,1
266,2009,1,RI,Rhode Island,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Motor and Other Vehicles,Dead,H5242,3
267,2010,1,IA,Iowa,Nutrition,Appropriations,DNPAO,Work Place,Accommodation in the Workplace,Dead,H2274,3
268,2010,1,GA,Georgia,Nutrition,Farm Direct Foods,DNPAO,Community,State Fiscal Year Appropriations,Enacted,H947,1
269,2011,1,AL,Alabama,Physical Activity,Pedestrians/Walking,DNPAO,Community,Traffic Control Legends,Dead,H528,3
270,2011,1,MS,Mississippi,Nutrition,Disparities/Equity,DNPAO,Community,Healthy Food Retail,Dead,S2685,3
271,2013,2,NY,New York,Nutrition,Agriculture and Farming,DNPAO,Community,An Act to Amend the Agriculture and Market Law,Introduced,AB7572,0
272,2010,1,VA,Virginia,Nutrition,Nutrition Standards,DNPAO,School/After School,Competitive Foods in Public Schools,Dead,H1067,3
273,2007,1,NM,New Mexico,Physical Activity,Pedestrians/Walking,DNPAO,Community,An Act Relating to the Expenditure of Public Money<br>,Enacted,S710,1
274,2011,1,MA,Massachusetts,Obesity,Body Mass Index (BMI),DNPAO,Community,Transportation Infrastructure Revolving Fund,Dead,H3248,3
275,2011,1,ID,Idaho,Obesity,Menu Labeling,DNPAO,Community,Local Land Use Planning and Production,Enacted,H148,1
276,2009,1,MN,Minnesota,Obesity,Body Mass Index (BMI),DNPAO,Community,Capital Improvements,Dead,H316,3
277,2009,1,NJ,New Jersey,Obesity,Menu Labeling,DNPAO,Community,Commission Assistance Program,Enacted,R18358,1
278,2003,1,ND,North Dakota,Nutrition,Appropriations,DNPAO,Work Place,Employer-Based Wellness Program,Enacted,SB2060,1
279,2009,1,OH,Ohio,Physical Activity,Pedestrians/Walking,DNPAO,School/After School,Transportation Innovation Authorities,Dead,H166,3
280,2011,1,CA,California,Obesity,Appropriations,DNPAO,Community,Local Development,Dead,S310,3
281,2011,1,NV,Nevada,Nutrition,Media Campaigns,DNPAO,School/After School,Use of Athletic Fields for Youth Sports,Enacted,A227,1
282,2011,1,MS,Mississippi,Nutrition,Farm Direct Foods,DNPAO,Community,Mississippi Dairy Industry Stabilization Act,Dead,H586,3
283,2012,1,MA,Massachusetts,Physical Activity,Pedestrians/Walking,DNPAO,Community,Finance Improvements to the Commonwealth's Transportation System<br>,Dead,H4193,3
284,2010,1,DC,District of Columbia,Physical Activity,Appropriations,DNPAO,Community,Fiscal Year 2011 Balanced Budget Support Emergency Act,Enacted,B1098,1
285,2010,1,OK,Oklahoma,Obesity,Appropriations,DNPAO,Medical and/or Hospital,"My Life, My Choice Waiver",Enacted,R16418,1
286,2010,1,MA,Massachusetts,Physical Activity,Task Forces/Councils,DNPAO,School/After School,Quality Physical Education,Dead,S2294,3
287,2011,1,MO,Missouri,Physical Activity,Disabilities,DNPAO,Community,Department of Revenue and Department of Transportation,Enacted,H4,1
288,2011,1,OK,Oklahoma,Nutrition,Incentives,DNPAO,Community,Public Health And Safety,Dead,H1579,3
289,2009,1,MA,Massachusetts,Physical Activity,Bicycling,DNPAO,School/After School,Transportation System Modernization,Enacted,S2087,1
290,2009,1,GA,Georgia,Nutrition,Appropriations,DNPAO,Community,Social Services,Dead,H354,3
291,2012,1,HI,Hawaii,Nutrition,Farm Direct Foods,DNPAO,School/After School,An Act Relating to Sustainability<br>,Dead,H1939,3
292,2010,1,CT,Connecticut,Nutrition,Appropriations,DNPAO,Medical and/or Hospital,Wellness Programs,Dead,H5009,3
293,2009,1,NY,New York,Nutrition,Food Assistance Programs,DNPAO,Community,Senior Nutrition Assistance Program,Dead,A5335,3
294,2010,1,CO,Colorado,Obesity,Appropriations,DNPAO,Community,Campaign to End Childhood Hunger By 2015,Enacted,EO28,1
295,2010,1,NH,New Hampshire,Nutrition,Appropriations,DNPAO,School/After School,Body Mass Index Assessments of Pupils,Dead,H1479,3
296,2010,1,NY,New York,Physical Activity,Pedestrians/Walking,DNPAO,Community,"Alterations in Traffic Patterns, Speed Restrictions",Enacted,R21373,1
297,2011,1,MO,Missouri,Obesity,Appropriations,DNPAO,Community,Complete Streets Policies,Enacted,HCR23,1
298,2010,1,NY,New York,Nutrition,Agriculture and Farming,DNPAO,Restaurant/Retail,Commissioner of Economic Development,Vetoed,S6673,2
299,2011,1,AZ,Arizona,Nutrition,Appropriations,DNPAO,Medical and/or Hospital,Long Term Care Facilities and Standards,Dead,S1113,3
300,2011,1,NC,North Carolina,Obesity,Incentives,DNPAO,School/After School,Healthy Schools Act,Dead,H840,3
301,2007,1,CA,California,Nutrition,Access to Healthy Foods,DNPAO,Community,Healthy Food Purchase Pilot Program,Enacted,A2726,1
302,2011,1,HI,Hawaii,Nutrition,Agriculture and Farming,DNPAO,Community,Hawaii Agricultural Products,Enacted,HCR298,1
303,2010,1,TN,Tennessee,Nutrition,Agriculture and Farming,DNPAO,Restaurant/Retail,Public Funds and Financing,Dead,H3094,3
304,2011,1,OR,Oregon,Nutrition,Fruits and Vegetables,DNPAO,Restaurant/Retail,Agricultural Products,Enacted,H2336,1
305,2003,1,FL,Florida,Physical Activity,Bicycling,DNPAO,Community,County and Municipal Taxes on Motor Fue,Enacted,H1813,1
306,2011,1,MN,Minnesota,Obesity,Appropriations,DNPAO,Community,Public Safety,Dead,S895,3
307,2011,1,TX,Texas,Nutrition,Medical Care,DNPAO,Community,Bicycle Accommodation,Dead,H3731,3
308,2011,1,TX,Texas,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,Health and Physical Education Program Guidelines,Dead,H3075,3
309,2012,1,NY,New York,Physical Activity,Physical Education Requirements,DNPAO,Community,An Act to Combat the Incidence of Adult and Childhood Obesity<br>,Dead,A9394,3
310,2010,1,DC,District of Columbia,Obesity,Body Mass Index (BMI),DNPAO,Community,Comprehensive Plan Amendment Act,Dead,B867,3
311,2011,1,GA,Georgia,Obesity,Appropriations,DNPAO,Community,Sustainable Agriculture,Enacted,H225,1
312,2013,1,OR,Oregon,Nutrition,Fruits and Vegetables,DNPAO,Community,Supplemental Assistance to Purchase Food Directly from Farmers,Enacted,HB2992,1
313,2013,1,TX,Texas,Physical Activity,Initiatives and Programs,DNPAO,Work Place,Resolution,Introduced,HR1113,0
314,2010,1,IL,Illinois,Physical Activity,Safe Routes to Schools,DNPAO,Community,School Transportation Task Force,Enacted,HJR6,1
315,2009,1,IA,Iowa,Obesity,Access to Drinking Water,DNPAO,Community,Drinking Fountains,Dead,H389,3
316,2011,1,GA,Georgia,Obesity,Body Mass Index (BMI),DNPAO,Community,Revenue and Tax,Dead,H73,3
317,2013,1,NY,New York,Nutrition,Access to Healthy Foods,DNPAO,Community,An Act to Amend the Agriculture and Markets Law,Introduced,SB2332,0
318,2010,1,MI,Michigan,Physical Activity,Incentives,DNPAO,Community,Transit Facilities,Enacted,H5979,1
319,2010,1,WI,Wisconsin,Nutrition,Farm Direct Foods,DNPAO,Community,Locally Grown Food in School Meals,Enacted,A746,1
320,2008,1,OK,Oklahoma,Physical Activity,Initiatives and Programs,DNPAO,School/After School,Senate Resolution<br>,Enacted,SR52,1
321,2011,1,TX,Texas,Obesity,Liability and Indemnity,DNPAO,School/After School,Sweetened Beverages Tax,Dead,H2213,3
322,2010,1,HI,Hawaii,Nutrition,School Nutrition,DNPAO,School/After School,Healthy Lifestyle Education,Dead,HCR120,3
323,2013,2,NV,Nevada,Nutrition,Breastfeeding,DNPAO,Community,An Act Relating to Public Health,Enacted,AB158,1
324,2007,1,SC,South Carolina,Obesity,Initiatives and Programs,DNPAO,Community,An Act to Make Appropriations<br>,Enacted,H3620,1
325,2010,1,SC,South Carolina,Obesity,Food Restrictions,DNPAO,Community,Richland County,Enacted,S1190,1
326,2010,1,CA,California,Obesity,Appropriations,DNPAO,Community,Safe Routes to School Construction Program,Vetoed,A2147,2
327,2011,1,FL,Florida,Nutrition,School Nutrition,DNPAO,Community,Affordable Housing,Dead,S176,3
328,2001,1,CA,California,Nutrition,Appropriations,DNPAO,School/After School,After School Program: Nutrition Education,Enacted,AB2024,1
329,2010,1,NY,New York,Nutrition,Agriculture and Farming,DNPAO,Community,Reduction of Farm Based Taxes,Dead,S6947,3
330,2013,1,GA,Georgia,Nutrition,Access to Healthy Foods,DNPAO,Early Care and Education,An Act Providing Appropriations for the State Fiscal Year,Enacted,HB105,1
331,2010,1,RI,Rhode Island,Nutrition,Medical Care,DNPAO,Community,Rules of the Road,Enacted,H7243,1
332,2008,1,NY,New York,Nutrition,Farm Direct Foods,DNPAO,Community,Health and  Mental Hygiene Budget<br>,Enacted,S6804,1
333,2009,1,TN,Tennessee,Nutrition,Farmers Markets,DNPAO,Community,Food and Food Products,Dead,H1930,3
334,2009,1,ME,Maine,Physical Activity,Bicycling,DNPAO,Community,Bond Issues,Dead,LR1931,3
335,2011,1,IL,Illinois,Nutrition,Fruits and Vegetables,DNPAO,Community,Task Force on Farmers' Markets,Enacted,HJR19,1
336,2010,1,TN,Tennessee,Obesity,Body Mass Index (BMI),DNPAO,School/After School,Education,Dead,S2475,3
337,2010,1,MD,Maryland,Nutrition,Agriculture and Farming,DNPAO,Community,Farmers Markets,Dead,H1070,3
338,2012,1,IL,Illinois,Physical Activity,Pedestrians/Walking,DNPAO,School/After School,Resolution,Enacted,HR783,1
339,2009,1,MA,Massachusetts,Nutrition,Appropriations,DNPAO,Community,Barnstable County,Dead,H4138,3
340,2011,1,MA,Massachusetts,Obesity,Front of Package Labeling,DNPAO,Community,Labeling of Food,Dead,HD907,3
341,2009,1,NC,North Carolina,Nutrition,School Nutrition,DNPAO,School/After School,School Nutrition Standards,Dead,H900,3
342,2010,1,NJ,New Jersey,Physical Activity,Public Safety,DNPAO,Restaurant/Retail,State Budget,Enacted,S3000,1
343,2010,1,DC,District of Columbia,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Budget Support Congressional Review,Enacted,B583,1
344,2009,1,OK,Oklahoma,Obesity,Appropriations,DNPAO,Community,Motor Vehicles,Dead,H1795,3
345,2011,1,RI,Rhode Island,Nutrition,Task Forces/Councils,DNPAO,Community,State Affairs and Government,Enacted,H5633,1
346,2009,1,WY,Wyoming,Obesity,Task Forces/Councils,DNPAO,Community,Healthy Food Initiative Act,Dead,H194,3
347,2009,1,MO,Missouri,Nutrition,Farmers Markets,DNPAO,Community,Agriculture and Local Foods,Dead,H1080,3
348,2005,1,IA,Iowa,Nutrition,Appropriations,DNPAO,Community,State Government,Enacted,H2540,1
349,2009,1,ND,North Dakota,Nutrition,Breastfeeding,DNPAO,Work Place,Breastfeeding,Enacted,S2344,1
350,2011,1,FL,Florida,Physical Activity,Pedestrians/Walking,DNPAO,Community,Enterprise Zone Act,Dead,S1296,3
351,2011,1,MO,Missouri,Nutrition,Liability and Indemnity,DNPAO,Community,Department of Revenue and Department of Transportation,Enacted,H4,1
352,2013,1,OR,Oregon,Nutrition,Agriculture and Farming,DNPAO,Community,Relating to the Beginning and Expanding Farmer Loan Program,Introduced,HB2700,0
353,2011,1,AR,Arkansas,Obesity,Appropriations,DNPAO,Restaurant/Retail,Cottage Food and Farmers Market Permit Exemptions,Enacted,H1323,1
354,2010,1,MN,Minnesota,Nutrition,Farm Direct Foods,DNPAO,Community,State and Local Government,Enacted,H1671,1
355,2009,1,NY,New York,Nutrition,Appropriations,DNPAO,School/After School,Availability of Healthy Food on School Property,Dead,S1446,3
356,2005,1,HI,Hawaii,Obesity,Appropriations,DNPAO,School/After School,Agribusiness Development Corporation,Enacted,H2179,1
357,2014,3,RI,Rhode Island,Nutrition,School Nutrition,DNPAO,School/After School,Rules and Regulations for School Health Programs,Enacted,5542,1
358,2010,1,MN,Minnesota,Obesity,Food Restrictions,DNPAO,Community,Capital Investment,Dead,S2287,3
359,2010,1,VA,Virginia,Nutrition,Agriculture and Farming,DNPAO,Restaurant/Retail,Local Restrictions on Farm Businesses,Dead,S348,3
360,2011,1,OK,Oklahoma,Nutrition,Media Campaigns,DNPAO,School/After School,School Property,Dead,S682,3
361,2012,1,ID,Idaho,Physical Activity,Physical Education Requirements,DNPAO,School/After School,Rules Governing Thoroughness<br>,Enacted,8561,1
362,2010,1,MD,Maryland,Nutrition,Medical Care,DNPAO,Community,Vehicle Laws,Dead,H461,3
363,2009,1,IL,Illinois,Physical Activity,Public Transportation,DNPAO,Community,Statewide Transportation Policy,Dead,H4590,3
364,2011,1,MN,Minnesota,Nutrition,Medical Care,DNPAO,Community,Corporate Franchise and Individual Income Tax,Dead,H42,3
365,2010,1,MI,Michigan,Obesity,Body Mass Index (BMI),DNPAO,Community,Facilities and Development,Enacted,H5988,1
366,2011,1,MS,Mississippi,Obesity,Menu Labeling,DNPAO,Community,Uniform Common Interest Ownership Act,Dead,H1366,3
367,2011,1,GA,Georgia,Physical Activity,Public Transportation,DNPAO,Community,Legislative Resolution,Enacted,SR29,1
